Cód. Artículo,Referencia,Centro Costos 1,Centro Costos 2,Centro Costos 3,Centro Costos 4,Centro Costos 5
55114,BARNIZ SOBREIM MATE VP 194 207,11212417001,11212317001,11212517001,11212217001,
55111,BARNIZ SOBREIMPRES/ 48900-0001,11212417001,11212317001,11212517001,11212217001,
55121,BARNIZ UVFLEXO ROLLER OB209113,11212417001,11212517001,,,
53240,BEIGE PANTONE 475C,11212417001,11212317001,11212517001,11212217001,
51101,BLANCO OPACO 5113,11212417001,11212317001,11212517001,11212217001,
51701,BLANCO TRANSPARENTE,11212417001,11212317001,11212517001,11212217001,
51602,DORADO R. 451Y001,11212417001,11212317001,11212517001,11212217001,
54105,MAGENTA HEAT SET,11212417001,11212317001,,,
54103,MAGENTA PERIODICO,11212117001,11212417001,11212317001,,
52231,MAGENTA RESISTA HUBER,11212417001,11212317001,11212517001,11212217001,
51251,NARANJA BASICO 51207,11212417001,11212317001,11212517001,11212217001,
53251,NARANJA PANTONE 021 C,11212417001,11212317001,11212517001,11212217001,
53254,NARANJA PANTONE 1505C,11212417001,11212317001,11212517001,11212217001,
53252,NARANJA PANTONE 2348 C,11212417001,11212317001,11212517001,11212217001,
54205,NEGRA HEAT SET,11212417001,11212317001,,,
54203,NEGRA PERIODICO,11212117001,11212417001,11212317001,,
52301,NEGRO EXTRA R.5736,11212417001,11212317001,11212517001,11212217001,
52312,NEGRO NOVAVIT SPEED 700,11212417001,11212317001,11212517001,11212217001,
52331,NEGRO RESISTA HUBER,11212417001,11212317001,11212517001,11212217001,
53262,PANTONE CAFE BUENDIA,11212517001,,,,
53302,PANTONE COLL GREY 7,11212417001,11212317001,11212517001,11212217001,
53223,PANTONE ROJO BUENDIA,11212517001,,,,
51401,PLATA 877 C+U,11212417001,11212317001,11212517001,11212217001,
55601,POLVO ANTI-REPINTE REFK4-15,11212417001,11212317001,11212517001,11212217001,
55301,RETARDADOR BARNIZ ACUOSO,11212417001,11212517001,,,
53205,RODAMINE RED PANTONE 39304,11212417001,11212317001,11212517001,11212217001,
51361,ROJO INDIO R.5726,11212417001,11212317001,11212517001,11212217001,
53203,ROJO PANTONE 032 C 39313,11212417001,11212317001,11212517001,11212217001,
53210,ROJO PANTONE 186C,11212417001,11212317001,11212517001,11212217001,
53209,ROJO PANTONE 193C,11212417001,11212317001,11212517001,11212217001,
53212,ROJO PANTONE 207C,11212417001,11212317001,11212517001,11212217001,
53202,ROJO PANTONE 485 C,11212417001,11212317001,11212517001,11212217001,
51521,VERDE MEDIO REF 5134,11212417001,11212317001,11212517001,11212217001,
54312,VERDE PANTONE 3405 C,11212417001,11212317001,11212517001,11212217001,
53171,VERDE PANTONE 348C,11212417001,11212317001,11212517001,11212217001,
53159,VERDE PANTONE 377C,11212417001,11212317001,11212517001,11212217001,
54310,VERDE PANTONE 396 C,11212417001,11212317001,11212517001,11212217001,
54301,VIOLETA PANTONE C - BF01,11212417001,11212317001,11212517001,11212217001,
74203,ALZA METALICA 0.10MM x 10MTS,11212517001,,,,
74209,CITO PROFILGUMI 70 CM 5 MM,11212517001,,,,
74208,CITO PROFILGUMI 70CM 8 MM,11212517001,,,,
74201,CITO RY 0.4 X1.3 MM,11212517001,,,,
74202,CITO RY 0.5 X 1.5 MM,11212517001,,,,
74204,CITO RY 0.6 X 1.6 M.M,11212517001,,,,
